job_id,job_title,agency,platform,field,industry,employment_type,exp_years_min,exp_years_max,exp_years_mid,start_date,closing_date,is_open,first_seen,last_seen,removed_at,job_description
10004263,Foreign Service Administration Specialist,Ministry of Foreign Affairs,hrp,International Relations,Foreign Service,Contract,0,0,0.00000000000000000000,2022-11-07 00:00:00+00,,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"Foreign Service Administration Specialists (FSAS) contribute to the success of MFA in administrative and operational roles. FSAS officers can develop along multiple career pathways to pursue a career that makes the best use of their skills, knowledge and interests. After a deployment in HQ, FSAS officers may be posted to any of our Overseas Missions where they have the unique experience of being in diverse social and cultural environments.

No matter where you begin, you can go far."
11504320,Foreign Service Officer (Political & Economic),Ministry of Foreign Affairs,hrp,International Relations,Foreign Service,Permanent/Contract,0,0,0.00000000000000000000,2026-05-19 00:00:00+00,,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"Foreign Service Officers (FSOs) serve as Singapore’s diplomats to safeguard and protect our fellow countrymen and advance Singapore’s interests abroad. As an FSO, you must be prepared for a career that alternates between deployments to MFA HQ and to any of our over 50 embassies, high commissions and consulates around the world. Applicants may pursue a career with MFA as an FSO on either the Political & Economic track, or the Functional & Corporate track."
11515486,Foreign Service Officer (Functional & Corporate),Ministry of Foreign Affairs,hrp,International Relations,Foreign Service,Permanent/Contract,0,0,0.00000000000000000000,2026-05-19 00:00:00+00,,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"Foreign Service Officers (FSOs) serve as Singapore’s diplomats to safeguard and protect our fellow countrymen and advance Singapore’s interests abroad. As an FSO, you must be prepared for a career that alternates between deployments to MFA HQ and to any of our over 50 embassies, high commissions and consulates around the world. Applicants may pursue a career with MFA as an FSO on either the Political & Economic track, or the Functional & Corporate track."
11552579,"Senior Cybersecurity Consultant (Policy & Analytics), CII",Cyber Security Agency of Singapore,hrp,Infocomm Technology,"InfoComm, Technology, New Media Communications",Permanent/Contract,12,15,13.5000000000000000,2026-06-15 00:00:00+00,2026-09-01 00:00:00+00,t,2026-06-15 16:07:26.51896+00,2026-08-15 10:45:34.299911+00,,"Critical Information Infrastructure (CII) Division works to strengthen the cybersecurity of our critical sectors in Government, Transport, Services and Utilities clusters. The team partners regulators and CII owners to strengthen the cyber resiliency of the Nation's CII against cyber threats and to ensure the continuity of the essential services."
11632804,Statistician,Department of Statistics,hrp,Data Analysis & Data Mgt,Research and Analysis,Contract,0,6,3.0000000000000000,2025-06-24 00:00:00+00,,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"As a Statistician, you will be responsible for the data gathering and compilation of statistics in one or more specific fields, conduct statistical research and analysis, and develop new systems and indicators to support users' statistical requirements."
11642924,Public Service Leadership Careers (PSLC),Public Service Division,hrp,Policy & Planning,Public Service Leadership,Permanent/Contract,0,0,0.00000000000000000000,2021-11-05 00:00:00+00,,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"The Singapore Public Service offers an attractive career proposition for those who seek to make a difference in service of Singapore and Singaporeans. 

To navigate a more complex and fast-changing environment, the Public Service needs a diversity of strengths and perspectives in our leadership ranks. We therefore welcome leaders with different backgrounds, who wish to contribute their skills and perspectives in the Public Service to make a meaningful impact to Singapore and Singaporeans.

If you take up a public service leadership career, we will invest in your development so that you can lead effectively in the Public Service, for today and tomorrow. A key feature of pursuing a public service leadership career is the opportunity for you to undergo structured job postings across different public agencies, to expose you to critical job experiences and key issues facing Government. 

Regardless of where you are in your career journey, you can apply for the Public Service Leadership Careers through the “Apply Now” button below."
11643078,Public Service Leadership Programme (For Graduating Students/Fresh Graduates),Public Service Division,hrp,Policy & Planning,Public Service Leadership,Permanent/Contract,0,0,0.00000000000000000000,2021-11-05 00:00:00+00,,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"The Singapore Public Service offers an attractive career proposition for those who seek to make a difference in service of Singapore and Singaporeans. 

To navigate a more complex and fast-changing environment, the Public Service needs a diversity of strengths and perspectives in our leadership ranks. We therefore welcome leaders with different backgrounds, who wish to contribute their skills and perspectives in the Public Service to make a meaningful impact to Singapore and Singaporeans.

If you take up a public service leadership career, we will invest in your development so that you can lead effectively in the Public Service, for today and tomorrow. A key feature of pursuing a public service leadership career is the opportunity for you to undergo structured job postings across different public agencies, to expose you to critical job experiences and key issues facing Government."
11723185,Assistant Director (Audit Advisory),MINDEF,hrp,Audit,"Accounting, Audit, Finance",Permanent,8,13,10.5000000000000000,2026-07-28 00:00:00+00,2026-08-28 00:00:00+00,t,2026-07-28 12:19:18.969589+00,2026-08-15 10:45:34.299911+00,,"You will provide audit advisory on key governance, risk management, audit and control issues associated with policies, processes, initiatives and systems to strengthen the prevention of lapses in the Ministry of Defence and the Singapore Armed Forces (MINDEF/SAF)."
11739248,"Snr / Cybersecurity Consultant, Critical Information Infrastructure",Cyber Security Agency of Singapore,hrp,Infocomm Technology,"InfoComm, Technology, New Media Communications",Permanent/Contract,3,8,5.5000000000000000,2026-05-29 00:00:00+00,2026-09-01 00:00:00+00,t,2026-06-10 10:44:10.232646+00,2026-08-15 10:45:34.299911+00,,"Critical Information Infrastructure (CII) team works to strengthen the cybersecurity in our critical sectors such as energy, water and banking. You will work with a team of Sector Officers to partner regulators and operators to strengthen the cyber resiliency of the Nation's critical information infrastructure against cyber threats and to ensure the continuity of the essential services."
11749285,Cyber Security Vulnerability Researcher (Cloud/IM Services),Centre for Strategic Infocomm Technologies,hrp,Infocomm Technology,"InfoComm, Technology, New Media Communications",Permanent,0,0,0.00000000000000000000,2026-01-08 00:00:00+00,2026-06-30 00:00:00+00,f,2026-06-10 10:44:10.232646+00,2026-06-30 12:28:28.137373+00,2026-06-30 12:28:28.137373+00,
